date,temperaturemin,temperaturemax,precipitation,snowfall,snowdepth,avgwindspeed,fastest2minwinddir,fastest2minwindspeed,fastest5secwinddir,fastest5secwindspeed,fog,fogheavy,mist,rain,fogground,ice,glaze,drizzle,snow,freezingrain,smokehaze,thunder,highwind,hail,blowingsnow,dust,freezingfog
1/25/2008,21,39,0,0,0,3.8,340,14.09,340,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/29/2008,37,64,0,0,0,13.42,220,23.94,230,27.96,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2/1/2008,36,60.1,0.83,0,0,8.5,330,25.95,210,35.12,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2/6/2008,61,77,0,0,0,19.01,220,33.11,230,40.94,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2/7/2008,43,66,0,0,0,8.05,230,25.95,240,31.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2/11/2008,27,46.9,0,0,0,4.92,20,12.08,320,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2/12/2008,30,62.1,0.28,0,0,6.04,240,27.96,240,34.9,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
2/18/2008,45,73,0.29,0,0,14.54,230,31.09,240,36.91,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2/19/2008,30.9,55,0,0,0,8.72,250,23.04,220,31.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2/25/2008,35.1,61,0.01,0,0,4.25,240,12.08,240,14.99,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
2/28/2008,21.9,43,0,0,0,5.82,260,17,260,21.92,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
3/1/2008,39.9,64.9,0,0,0,9.84,270,21.92,270,29.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3/12/2008,44.1,68,0,0,0,5.14,280,17,260,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3/25/2008,28.9,57.9,0,0,0,6.26,220,17,210,21.92,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4/2/2008,51.1,66,0,0,0,9.17,110,17,90,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4/10/2008,48,78.1,0,0,0,4.03,170,14.09,170,16.11,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
4/19/2008,54,82,0,0,0,11.18,170,19.91,180,25.05,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
4/22/2008,55.9,71.1,0.23,0,0,11.41,40,23.04,30,27.96,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
4/24/2008,51.1,80.1,0,0,0,2.46,90,12.08,120,16.11,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4/26/2008,60.1,87.1,0,0,0,9.62,220,19.91,230,23.04,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
5/5/2008,55,73,0,0,0,6.71,40,14.99,30,17.9,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
5/14/2008,44.1,73.9,0,0,0,6.26,230,16.11,220,21.92,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
5/22/2008,48,78.1,0,0,0,4.03,230,16.11,280,21.03,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
6/7/2008,73.9,100,0,0,0,5.59,230,16.11,220,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
6/14/2008,69.1,96.1,0.01,0,0,7.61,200,17.9,170,23.94,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
6/29/2008,69.1,95,0.82,0,0,11.41,230,25.05,230,29.08,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
7/17/2008,64,89.1,0,0,0,5.37,50,14.99,100,19.91,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
1/13/2007,48,69.1,0,0,0,6.93,230,17,230,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2/8/2007,27,48,0,0,0,3.13,300,14.99,280,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2/9/2007,21.9,42.1,0,0,0,3.36,360,14.09,10,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2/26/2007,41,61,0,0,0,2.46,210,8.95,230,12.08,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3/5/2007,26.1,64,0,0,0,8.5,240,21.92,240,29.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4/11/2007,46,59,0.73,0,0,6.49,140,17.9,150,25.05,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No
4/19/2007,44.1,57.9,0.04,0,0,4.47,90,12.97,90,16.11,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
4/23/2007,52,82.9,0,0,0,11.41,230,21.92,240,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4/27/2007,63,82.9,0.25,0,0,11.18,220,21.03,230,23.94,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
4/28/2007,59,75.9,0,0,0,6.71,270,16.11,290,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5/3/2007,57,71.1,0,0,0,9.62,80,17,50,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5/5/2007,55,66,0.01,0,0,2.68,320,6.93,90,8.95,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
5/7/2007,42.1,70,0,0,0,12.53,50,25.05,40,31.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5/8/2007,50,69.1,0.04,0,0,11.41,40,17.9,40,23.94,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
5/25/2007,55.9,86,0,0,0,4.92,240,12.97,220,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
6/14/2007,60.1,70,0.01,0,0,6.71,80,14.99,80,17,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
6/22/2007,62.1,91,0.13,0,0,4.25,30,19.91,30,25.05,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
6/24/2007,66.9,89.1,0.31,0,0,5.37,260,14.99,260,19.91,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
6/28/2007,73,93.9,0,0,0,9.17,190,17.9,200,23.04,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
7/3/2007,63,86,0,0,0,6.93,180,12.97,180,17,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
7/22/2007,57.9,84.9,0,0,0,5.14,50,17.9,50,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5/20/2008,57.9,82.9,0.43,0,0,10.51,230,25.05,220,31.99,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
5/23/2008,52,79,0,0,0,4.7,70,10.07,100,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
6/1/2008,64.9,91,0.14,0,0,4.92,350,21.92,330,31.09,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No
6/5/2008,75.9,96.1,0,0,0,5.82,220,17,230,19.91,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
6/21/2008,66,88,1.18,0,0,4.47,50,23.04,50,27.96,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
6/22/2008,64.9,87.1,0.93,0,0,6.93,200,23.04,200,29.97,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No
6/27/2008,71.1,96.1,0,0,0,7.83,220,17.9,220,21.92,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No
7/7/2008,69.1,87.1,0,0,0,9.4,230,17,220,21.03,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
7/9/2008,70,90,0.97,0,0,10.51,300,23.04,300,36.01,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
7/13/2008,68,91,0,0,0,5.14,180,14.09,160,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7/19/2008,70,90,0.76,0,0,3.36,150,19.91,130,23.94,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
7/29/2008,72,91.9,0,0,0,6.26,230,14.09,220,16.11,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
7/30/2008,75,93,0,0,0,7.61,230,17,240,23.04,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
8/13/2008,61,73.9,0.11,0,0,3.8,130,14.09,130,16.11,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No
8/17/2008,64.9,84.9,0,0,0,2.46,170,14.99,130,17,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
8/22/2008,64,88,0,0,0,9.4,90,17,110,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8/29/2008,70,89.1,0,0,0,3.58,120,10.07,140,14.99,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No
9/4/2008,64,90,0,0,0,4.47,170,10.07,180,14.09,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
9/13/2008,72,91,0,0,0,6.26,240,14.09,230,17,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9/15/2008,73,86,0,0,0,5.59,220,14.09,360,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
9/17/2008,60.1,73.9,0,0,0,3.8,30,10.07,50,14.09,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
9/24/2008,53.1,70,0,0,0,12.3,40,23.04,20,29.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9/26/2008,63,81,0.96,0,0,10.07,30,21.92,30,31.09,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
10/10/2008,64.9,73,0.02,0,0,6.71,50,16.11,40,17.9,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
10/11/2008,60.1,71.1,0,0,0,9.62,40,14.99,50,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12/17/2017,27.1,51.1,0,0,0,2.24,240,10.07,200,12.08,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
12/19/2017,36,70,0,0,0,4.47,230,14.09,240,17,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12/28/2017,18.1,30.2,0,0,0,7.83,70,16.11,80,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12/31/2017,23.2,35.1,0,0,0,10.07,50,18.12,50,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/2/2018,12.2,32,0,0,0,2.91,30,10.07,20,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/10/2018,43,61,0,0,0,4.92,90,10.07,100,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/18/2018,10.2,34,0,0.2,5.91,5.59,270,12.97,320,19.01,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/20/2018,26.2,55.9,0,0,1.18,5.59,220,12.97,230,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/22/2018,37.9,62.1,0,0,0,4.7,190,18.12,200,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/27/2018,31.1,66.9,0,0,0,6.26,170,17,190,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/29/2018,33.1,52,0.59,0,0,8.05,360,14.99,20,25.05,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2/1/2018,31.1,62.1,0,0,0,13.2,240,25.05,230,31.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2/7/2018,44.1,64.9,0.21,0,0,8.5,190,21.92,200,29.97,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2/13/2018,37,44.1,0,0,0,8.72,50,17,50,21.92,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2/16/2018,55.9,81,0.02,0,0,13.42,230,25.95,230,33.11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2/20/2018,50,72,0,0,0,3.36,200,12.97,190,17,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2/28/2018,39,57,0.07,0,0,4.92,220,12.97,200,16.11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3/5/2018,26.2,54,0,0,0,4.7,50,12.97,50,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3/8/2018,27.1,46.9,0,0,0,4.47,250,16.11,310,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3/11/2018,37.9,48.9,0.21,0,0,7.83,80,16.11,80,21.92,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3/12/2018,32,37.9,0.92,1.42,0,7.16,30,14.09,30,19.91,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
3/15/2018,24.3,64.9,0,0,0,11.63,230,29.97,240,42.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3/18/2018,39.9,60.1,0.01,0,0,6.04,40,16.11,40,21.92,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3/23/2018,27.1,55.9,0,0,0,3.8,270,16.11,260,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3/28/2018,43,75.9,0,0,0,10.74,240,21.92,230,29.08,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4/1/2018,41,75,0,0,0,7.61,230,16.11,240,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4/8/2018,32,52,0,0,0,4.92,40,17,20,25.05,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
4/19/2018,45,75.9,0,0,0,10.96,290,23.94,290,34,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5/2/2018,53.1,84.9,0,0,0,10.07,230,21.03,220,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5/4/2018,60.1,84.9,0,0,0,12.97,220,21.92,240,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5/6/2018,62.1,84.9,0.16,0,0,3.58,310,18.12,300,33.11,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
5/14/2018,68,93,0,0,0,8.05,220,16.11,250,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5/15/2018,69.1,88,0.02,0,0,8.72,240,18.12,190,23.94,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
6/2/2018,68,87.1,0.08,0,0,4.7,320,14.09,300,23.94,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
6/14/2018,70,91,0,0,0,4.47,360,10.07,10,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
6/18/2018,73.9,93.9,0,0,0,4.92,230,14.09,220,17,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
6/25/2018,72,88,0.02,0,0,4.25,50,12.08,20,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7/26/2018,68,91.9,0,0,0,4.92,220,12.97,220,16.11,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7/29/2018,70,88,0.07,0,0,4.25,140,16.11,90,23.04,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
8/5/2018,72,93,0,0,0,3.36,90,16.11,140,25.05,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8/12/2018,70,89.1,0.8,0,0,2.91,20,17,20,23.04,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
8/19/2018,68,88,1.83,0,0,6.71,30,16.11,340,23.04,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
8/20/2018,68,87.1,0.86,0,0,4.47,220,16.11,220,19.91,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
8/22/2018,70,88,0.01,0,0,6.71,230,14.09,330,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8/25/2018,59,82.9,0,0,0,2.68,40,10.07,50,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8/27/2018,69.1,93,0,0,0,4.03,250,12.08,240,14.99,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
8/28/2018,71.1,93.9,0,0,0,6.04,240,12.97,240,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8/29/2018,72,93.9,0,0,0,7.38,230,14.99,210,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9/4/2018,72,91.9,0.01,0,0,2.91,40,12.97,110,19.01,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9/7/2018,71.1,91.9,0.03,0,0,2.68,170,8.95,170,14.09,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
9/9/2018,66.9,80.1,0.15,0,0,5.37,40,12.97,30,17,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9/10/2018,66.9,88,0.26,0,0,4.47,230,23.04,230,27.96,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
9/12/2018,72,88,0.13,0,0,5.14,30,12.97,40,21.03,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
9/13/2018,73.9,81,0.28,0,0,11.18,20,21.03,40,31.09,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9/14/2018,73,79,2.5,0,0,20.36,40,33.11,50,48.09,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9/16/2018,73,75.9,0.9,0,0,14.99,80,23.04,80,33.11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10/6/2018,68,82,0,0,0,3.58,80,10.07,80,12.08,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10/7/2018,66,87.1,0,0,0,2.91,90,10.07,30,17,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
10/8/2018,69.1,84.9,0,0,0,6.26,100,16.11,100,23.04,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10/17/2018,53.1,71.1,0,0,0,3.58,270,12.08,260,18.12,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10/21/2018,37,57.9,0,0,0,5.59,340,19.91,350,34,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10/24/2018,37.9,61,0,0,0,3.58,40,14.99,40,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10/26/2018,42.1,52,1.58,0,0,8.05,90,21.92,90,29.97,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
